最高温度,最低温度,日期类型,T-7,T-6,T-5,T-4,T-3,T-2,T-1,Y
32,23,0,2814.95,2578.45,1240.13,825.05,235.37,459,1046.43,1054.26
32,23,0,2578.45,1240.13,825.05,235.37,459,1046.43,1054.26,1043.75
32,24,0,1240.13,825.05,235.37,459,1046.43,1054.26,1043.75,862.14
27,24,0,825.05,235.37,459,1046.43,1054.26,1043.75,862.14,1984.94
30,23,1,235.37,459,1046.43,1054.26,1043.75,862.14,1984.94,1290.84
25,22,1,459,1046.43,1054.26,1043.75,862.14,1984.94,1290.84,243.12
28,22,0,1046.43,1054.26,1043.75,862.14,1984.94,1290.84,243.12,1703.75
30,25,0,1054.26,1043.75,862.14,1984.94,1290.84,243.12,1703.75,1943.21
30,24,0,1043.75,862.14,1984.94,1290.84,243.12,1703.75,1943.21,1880.57
32,24,0,862.14,1984.94,1290.84,243.12,1703.75,1943.21,1880.57,1684.94
33,27,0,1984.94,1290.84,243.12,1703.75,1943.21,1880.57,1684.94,1637.01
26,23,1,1290.84,243.12,1703.75,1943.21,1880.57,1684.94,1637.01,453.74
30,23,1,243.12,1703.75,1943.21,1880.57,1684.94,1637.01,453.74,307.79
32,24,0,1703.75,1943.21,1880.57,1684.94,1637.01,453.74,307.79,1532.15
33,25,0,1943.21,1880.57,1684.94,1637.01,453.74,307.79,1532.15,1632.37
33,22,0,1880.57,1684.94,1637.01,453.74,307.79,1532.15,1632.37,1398.78
32,24,0,1684.94,1637.01,453.74,307.79,1532.15,1632.37,1398.78,1438.19
31,24,0,1637.01,453.74,307.79,1532.15,1632.37,1398.78,1438.19,1232.38
31,23,1,453.74,307.79,1532.15,1632.37,1398.78,1438.19,1232.38,685.35
31,25,1,307.79,1532.15,1632.37,1398.78,1438.19,1232.38,685.35,141.96
29,24,0,1532.15,1632.37,1398.78,1438.19,1232.38,685.35,141.96,999.41
27,24,0,1632.37,1398.78,1438.19,1232.38,685.35,141.96,999.41,854.19
26,23,0,1398.78,1438.19,1232.38,685.35,141.96,999.41,854.19,747.22
29,22,0,1438.19,1232.38,685.35,141.96,999.41,854.19,747.22,1055.51
33,23,0,1232.38,685.35,141.96,999.41,854.19,747.22,1055.51,1549.37
35,25,1,685.35,141.96,999.41,854.19,747.22,1055.51,1549.37,857.78
35,26,1,141.96,999.41,854.19,747.22,1055.51,1549.37,857.78,198.93
34,25,0,999.41,854.19,747.22,1055.51,1549.37,857.78,198.93,1300.4
33,25,0,854.19,747.22,1055.51,1549.37,857.78,198.93,1300.42,1129.33
33,25,0,747.22,1055.51,1549.37,857.78,198.93,1300.42,1129.33,1281.26
33,24,0,1055.51,1549.37,857.78,198.93,1300.42,1129.33,1281.26,1345.1
32,24,0,1549.37,857.78,198.93,1300.42,1129.33,1281.26,1345.1,948.15
33,24,1,857.78,198.93,1300.42,1129.33,1281.26,1345.1,948.15,889.64
32,24,1,198.93,1300.42,1129.33,1281.26,1345.1,948.15,889.64,326.89
30,24,0,1300.42,1129.33,1281.26,1345.1,948.15,889.64,326.89,1272.54
30,24,0,1129.33,1281.26,1345.1,948.15,889.64,326.89,1272.54,1588.65
28,24,0,1281.26,1345.1,948.15,889.64,326.89,1272.54,1588.65,810.1
27,24,0,1345.1,948.15,889.64,326.89,1272.54,1588.65,810.1,815.39
26,21,0,948.15,889.64,326.89,1272.54,1588.65,810.1,815.39,786.73
25,23,1,889.64,326.89,1272.54,1588.65,810.1,815.39,786.73,458.27
26,23,1,326.89,1272.54,1588.65,810.1,815.39,786.73,458.27,192.22
28,22,0,1272.54,1588.65,810.1,815.39,786.73,458.27,192.22,1050.72
31,22,0,1588.65,810.1,815.39,786.73,458.27,192.22,1050.72,1202.75
32,22,0,810.1,815.39,786.73,458.27,192.22,1050.72,1202.75,853.78
31,22,0,815.39,786.73,458.27,192.22,1050.72,1202.75,853.78,1274.67
29,24,0,786.73,458.27,192.22,1050.72,1202.75,853.78,1274.67,839.12
29,24,1,458.27,192.22,1050.72,1202.75,853.78,1274.67,839.12,711.13
31,26,1,192.22,1050.72,1202.75,853.78,1274.67,839.12,711.13,688.47
33,24,0,1050.72,1202.75,853.78,1274.67,839.12,711.13,688.47,1490.61
25,21,0,1202.75,853.78,1274.67,839.12,711.13,688.47,1490.61,811.6
31,23,0,853.78,1274.67,839.12,711.13,688.47,1490.61,811.6,1265.84
29,21,0,1274.67,839.12,711.13,688.47,1490.61,811.6,1265.84,1214.31
24,21,0,839.12,711.13,688.47,1490.61,811.6,1265.84,1214.31,770.67
29,23,1,711.13,688.47,1490.61,811.6,1265.84,1214.31,770.67,637.08
30,23,1,688.47,1490.61,811.6,1265.84,1214.31,770.67,637.08,446.47
34,25,0,1490.61,811.6,1265.84,1214.31,770.67,637.08,446.47,1447.55
35,25,0,811.6,1265.84,1214.31,770.67,637.08,446.47,1447.55,1408.76
30,24,0,1265.84,1214.31,770.67,637.08,446.47,1447.55,1408.76,1336.14
26,23,0,1214.31,770.67,637.08,446.47,1447.55,1408.76,1336.14,1638.21
28,23,0,770.67,637.08,446.47,1447.55,1408.76,1336.14,1638.21,1384.1
31,25,1,637.08,446.47,1447.55,1408.76,1336.14,1638.21,1384.1,1063.71
24,21,1,446.47,1447.55,1408.76,1336.14,1638.21,1384.1,1063.71,657.34
26,21,0,1447.55,1408.76,1336.14,1638.21,1384.1,1063.71,657.34,833.22
26,20,0,1408.76,1336.14,1638.21,1384.1,1063.71,657.34,833.22,1062.64
30,21,0,1336.14,1638.21,1384.1,1063.71,657.34,833.22,1062.64,907.1
32,22,0,1638.21,1384.1,1063.71,657.34,833.22,1062.64,907.1,1354.4
34,20,0,1384.1,1063.71,657.34,833.22,1062.64,907.1,1354.4,1755.12
34,22,1,1063.71,657.34,833.22,1062.64,907.1,1354.4,1755.12,684.08
31,22,1,657.34,833.22,1062.64,907.1,1354.4,1755.12,684.08,462.42
31,21,0,833.22,1062.64,907.1,1354.4,1755.12,684.08,462.42,1409.23
31,19,0,1062.64,907.1,1354.4,1755.12,684.08,462.42,1409.23,1402.26
30,20,0,907.1,1354.4,1755.12,684.08,462.42,1409.23,1402.26,1362.37
30,17,0,1354.4,1755.12,684.08,462.42,1409.23,1402.26,1362.37,1463.57
31,20,0,1755.12,684.08,462.42,1409.23,1402.26,1362.37,1463.57,1767.36
32,21,1,684.08,462.42,1409.23,1402.26,1362.37,1463.57,1767.36,908.17
34,18,1,462.42,1409.23,1402.26,1362.37,1463.57,1767.36,908.17,884.13
26,19,0,1409.23,1402.26,1362.37,1463.57,1767.36,908.17,884.13,957.32
33,19,0,1402.26,1362.37,1463.57,1767.36,908.17,884.13,957.32,1337.74
35,21,0,1362.37,1463.57,1767.36,908.17,884.13,957.32,1337.74,1665.41
35,21,0,1463.57,1767.36,908.17,884.13,957.32,1337.74,1665.41,1986.74
33,23,0,1767.36,908.17,884.13,957.32,1337.74,1665.41,1986.74,1657.55
32,23,1,908.17,884.13,957.32,1337.74,1665.41,1986.74,1657.55,863.13
34,22,1,884.13,957.32,1337.74,1665.41,1986.74,1657.55,863.13,1413.33
26,21,0,957.32,1337.74,1665.41,1986.74,1657.55,863.13,1413.33,874.96
31,21,0,1337.74,1665.41,1986.74,1657.55,863.13,1413.33,874.96,796.48
25,17,0,1665.41,1986.74,1657.55,863.13,1413.33,874.96,796.48,896.47
28,18,0,1986.74,1657.55,863.13,1413.33,874.96,796.48,896.47,1038.65
