X1,X2,X3,X4,X5,X6,Y
40621.97 ,39170.41 ,38061.72,81,79,0.94 ,41397.72
41397.72 ,40621.97 ,38854.68,82,81,0.89 ,43596.47
43596.47 ,41397.72 ,39524.16,81,82,0.89 ,42697.01
42697.01 ,43596.47 ,39694.81,82,81,0.89 ,43691.48
43691.48 ,42697.01 ,39239.47,82,82,0.89 ,44181.39
44181.39 ,43691.48 ,37984.62,82,82,0.89 ,43826.33
43826.33 ,44181.39 ,37481.83,82,82,0.89 ,428197.48
0.00 ,0.00 ,37517.62,82,82,0.94 ,43941.77
43941.77 ,0.00 ,38745.94,82,82,0.94 ,44069.81
44069.81 ,43941.77 ,39170.41,84,82,0.89 ,46298.28 
46298.28 ,44069.81 ,40621.97,86,84,0.84 ,51329.10 
51329.10 ,46298.28 ,41397.72,86,86,0.84 ,53054.91 
53054.91 ,51329.10 ,43596.47,84,86,0.89 ,48023.18 
48023.18 ,53054.91 ,42697.01,82,84,0.94 ,44941.81 
44941.81 ,48023.18 ,43691.48,82,82,0.94 ,43264.46 
43264.46 ,44941.81 ,44181.39,82,82,0.84 ,43094.81 
43094.81 ,43264.46 ,43826.33,82,82,0.84 ,42874.26 
42874.26 ,43094.81 ,428197.48,82,82,0.89 ,42336.17
0.00 ,0.00 ,43941.77 ,77,76,0.94 ,39741.64
39741.64 ,0.00 ,44069.81 ,75,77,0.94 ,39184.19
39184.19 ,39741.64 ,46298.28 ,73,75,1.00 ,37189.44
37189.44 ,39184.19 ,51329.10 ,73,73,1.00 ,37649.17
37649.17 ,37189.44 ,53054.91 ,73,73,1.00 ,38051.21
38051.21 ,37649.17 ,48023.18 ,72,73,1.00 ,36184.18
36184.18 ,38051.21 ,44941.81 ,72,72,0.94 ,36764.78
36764.78 ,36184.18 ,43264.46 ,73,72,0.94 ,38554.44
38554.44 ,36764.78 ,43094.81 ,75,73,0.94 ,39558.87
39558.87 ,38554.44 ,42874.26 ,75,75,0.94 ,38184.05
38184.05 ,39558.87 ,42336.17 ,75,75,0.94 ,38058.48
0.00 ,0.00 ,39741.64,82 ,80,0.89 ,52194.18
52194.18 ,0.00 ,39184.19,84 ,82 ,0.84 ,55562.42
55562.42 ,52194.18 ,37189.44,88 ,84 ,0.75 ,59616.48 
59616.48 ,55562.42 ,37649.17,90 ,88 ,0.70 ,64194.97 
64194.97 ,59616.48 ,38051.21,91 ,90 ,0.63 ,67398.49 
67398.49 ,64194.97 ,36184.18,93 ,91 ,0.63 ,71273.13 
71273.13 ,67398.49 ,36764.78,93 ,93 ,0.63 ,72048.77 
72048.77 ,71273.13 ,38554.44,91 ,93 ,0.71 ,68416.71 
68416.71 ,72048.77 ,39558.87,93 ,91 ,0.67 ,69973.22 
69973.22 ,68416.71 ,38184.05,91 ,93 ,0.66 ,67983.74 
67983.74 ,69973.22 ,38058.48,90 ,91 ,0.66 ,65795.33
0.00 ,0.00 ,52194.18 ,88,87 ,0.70 ,59181.19
59181.19 ,0.00 ,55562.42 ,91,88,0.63 ,67941.18
67941.18 ,59181.19 ,59616.48 ,93,91,0.59 ,70249.62
70249.62 ,67941.18 ,64194.97 ,91,93,0.63 ,68941.87
68941.87 ,70249.62 ,67398.49 ,90,91,0.66 ,66554.83
66554.83 ,68941.87 ,71273.13 ,90,90,0.66 ,67489.19
67489.19 ,66554.83 ,72048.77 ,88,90,0.75 ,60184.26
60184.26 ,67489.19 ,68416.71 ,90,88,0.66 ,62746.16
62746.16 ,60184.26 ,69973.22 ,90,90,0.66 ,64318.97
64318.97 ,62746.16 ,67983.74 ,88,90,0.70 ,60597.26
60597.26 ,64318.97 ,65795.33 ,88,88,0.70 ,59481.69
0.00 ,0.00 ,59181.19,81,80,0.94 ,43191.25
43191.25 ,0.00 ,67941.18,81,81,0.94 ,44129.67
44129.67 ,43191.25 ,70249.62,84,81,0.84 ,47189.15
47189.15 ,44129.67 ,68941.87,88,84,0.75 ,58617.19
58617.19 ,47189.15 ,66554.83,90,88,0.70 ,61486.27
61486.27 ,58617.19 ,67489.19,91,90,0.63 ,62379.64
62379.64 ,61486.27 ,60184.26,91,91,0.66 ,63182.18
63182.18 ,62379.64 ,62746.16,91,91,0.63 ,64812.94
64812.94 ,63182.18 ,64318.97,91,91,0.63 ,64003.17
64003.17 ,64812.94 ,60597.26,91,91,0.63 ,63284.16
63284.16 ,64003.17 ,59481.69,90,91,0.66 ,61067.66
0.00 ,0.00 ,43191.25,90,88,0.75 ,59476.62
59476.62 ,0.00 ,44129.67,90,90,0.75 ,61543.98
61543.98 ,59476.62 ,47189.15,93,90,0.63 ,67892.18 
67892.18 ,61543.98 ,58617.19,95,93,0.59 ,70649.49 
70649.49 ,67892.18 ,61486.27,97,95,0.56 ,72189.64 
72189.64 ,70649.49 ,62379.64,97,97,0.56 ,72697.18 
72697.18 ,72189.64 ,63182.18,97,97,0.60 ,73659.07 
73659.07 ,72697.18 ,64812.94,97,97,0.56 ,74695.87 
74695.87 ,73659.07 ,64003.17,97,97,0.60 ,73946.80 
73946.80 ,74695.87 ,63284.16,95,97,0.63 ,71397.18 
71397.18 ,73946.80 ,61067.66,93,95,0.67 ,68914.91
0.00 ,0.00 ,59476.62 ,82,82,0.84 ,48697.87
48697.87 ,0.00 ,61543.98 ,86,82,0.79 ,51239.48
51239.48 ,48697.87 ,67892.18 ,88,86,0.79 ,56918.98
56918.98 ,51239.48 ,70649.49 ,90,88,0.75 ,60198.84
60198.84 ,56918.98 ,72189.64 ,91,90,0.75 ,64812.21
64812.21 ,60198.84 ,72697.18 ,95,91,0.67 ,70498.09
70498.09 ,64812.21 ,73659.07 ,97,95,0.60 ,75621.94
75621.94 ,70498.09 ,74695.87 ,95,97,0.59 ,72319.16
72319.16 ,75621.94 ,73946.80 ,95,95,0.63 ,71684.33
71684.33 ,72319.16 ,71397.18 ,84,95,0.62 ,52324.18
52324.18 ,71684.33 ,68914.91 ,84,84,0.66 ,53179.64
0.00 ,0.00 ,48697.87,77 ,77,0.94 ,35679.18
35679.18 ,0.00 ,51239.48,79 ,77 ,0.89 ,37984.79
37984.79 ,35679.18 ,56918.98,77 ,79 ,0.94 ,38027.68 
38027.68 ,37984.79 ,60198.84,79 ,77 ,0.89 ,38764.82 
38764.82 ,38027.68 ,64812.21,82 ,79 ,0.84 ,44201.47 
44201.47 ,38764.82 ,70498.09,84 ,82 ,0.74 ,46735.78 
46735.78 ,44201.47 ,75621.94,86 ,84 ,0.70 ,51349.75 
51349.75 ,46735.78 ,72319.16,86 ,86 ,0.66 ,53034.74 
53034.74 ,51349.75 ,71684.33,86 ,86 ,0.62 ,55684.36 
55684.36 ,53034.74 ,52324.18,86 ,86 ,0.66 ,54673.98 
54673.98 ,55684.36 ,53179.64,86 ,86 ,0.70 ,53427.79 
0.00 ,0.00 ,35679.18 ,81 ,80 ,0.89 ,43063.49
43063.49 ,0.00 ,37984.79 ,82 ,81 ,0.84 ,43415.26
43415.26 ,43063.49 ,38027.68 ,84 ,82 ,0.84 ,47512.33
47512.33 ,43415.26 ,38764.82 ,86 ,84 ,0.74 ,51478.48 
51478.48 ,47512.33 ,44201.47 ,88 ,86 ,0.70 ,58103.64 
58103.64 ,51478.48 ,46735.78 ,90 ,88 ,0.70 ,63248.58 
63248.58 ,58103.64 ,51349.75 ,91 ,90 ,0.66 ,67159.27 
67159.27 ,63248.58 ,53034.74 ,91 ,91 ,0.63 ,68006.47 
68006.47 ,67159.27 ,55684.36 ,86 ,91 ,0.79 ,55713.28 
55713.28 ,68006.47 ,54673.98 ,79 ,86 ,0.83 ,40217.81 
40217.81 ,55713.28 ,53427.79 ,79 ,79 ,0.94 ,39754.28 
0.00 ,0.00 ,43063.49 ,84 ,82 ,0.84 ,48024.85
48024.85 ,0.00 ,43415.26 ,86 ,84 ,0.79 ,56486.28
56486.28 ,48024.85 ,47512.33 ,88 ,86 ,0.75 ,58416.57
58416.57 ,56486.28 ,51478.48 ,91 ,88 ,0.63 ,67159.40 
67159.40 ,58416.57 ,58103.64 ,91 ,91 ,0.63 ,68572.17 
68572.17 ,67159.40 ,63248.58 ,93 ,91 ,0.56 ,69872.14 
69872.14 ,68572.17 ,67159.27 ,93 ,93 ,0.59 ,69032.48 
69032.48 ,69872.14 ,68006.47 ,95 ,93 ,0.56 ,72846.24 
72846.24 ,69032.48 ,55713.28 ,93 ,95 ,0.56 ,71982.15 
71982.15 ,72846.24 ,40217.81 ,91 ,93 ,0.63 ,68982.34 
68982.34 ,71982.15 ,39754.28 ,90 ,91 ,0.70 ,67047.62 
0.00 ,0.00 ,48024.85 ,84 ,83 ,0.79 ,46836.67
46836.67 ,0.00 ,56486.28 ,86 ,84 ,0.74 ,52995.69
52995.69 ,46836.67 ,58416.57 ,88 ,86 ,0.70 ,57991.95
57991.95 ,52995.69 ,67159.40 ,90 ,88 ,0.66 ,60492.63 
60492.63 ,57991.95 ,68572.17 ,90 ,90 ,0.62 ,61557.65 
61557.65 ,60492.63 ,69872.14 ,91 ,90 ,0.63 ,62599.33 
62599.33 ,61557.65 ,69032.48 ,90 ,91 ,0.62 ,64486.04 
64486.04 ,62599.33 ,72846.24 ,91 ,90 ,0.59 ,67823.89 
67823.89 ,64486.04 ,71982.15 ,91 ,91 ,0.55 ,69475.08 
69475.08 ,67823.89 ,68982.34 ,90 ,91 ,0.59 ,68177.69 
68177.69 ,69475.08 ,67047.62 ,88 ,90 ,0.66 ,63555.63 
0.00 ,0.00 ,46836.67 ,81,80 ,0.84 ,43940.47
43940.47 ,0.00 ,52995.69 ,84,81,0.74 ,47892.04
47892.04 ,43940.47 ,57991.95 ,86,84,0.66 ,54023.82
54023.82 ,47892.04 ,60492.63 ,88,86,0.62 ,58923.54 
58923.54 ,54023.82 ,61557.65 ,86,88,0.66 ,54281.32 
54281.32 ,58923.54 ,62599.33 ,88,86,0.62 ,58930.11 
58930.11 ,54281.32 ,64486.04 ,88,88,0.62 ,57927.03 
57927.03 ,58930.11 ,67823.89 ,90,88,0.62 ,62829.33 
62829.33 ,57927.03 ,69475.08 ,90,90,0.62 ,63284.13 
63284.13 ,62829.33 ,68177.69 ,90,90,0.62 ,62937.09 
62937.09 ,63284.13 ,63555.63 ,88,90,0.62 ,59836.23 
0.00 ,0.00 ,43940.47 ,81,80,0.89 ,42657.17
42657.17 ,0.00 ,47892.04 ,84,81,0.79 ,44122.46
44122.46 ,42657.17 ,54023.82 ,84,84,0.79 ,46632.49
46632.49 ,44122.46 ,58923.54 ,86,84,0.70 ,55039.87 
55039.87 ,46632.49 ,54281.32 ,90,86,0.66 ,62864.18 
62864.18 ,55039.87 ,58930.11 ,88,90,0.70 ,57963.47 
57963.47 ,62864.18 ,57927.03 ,90,88,0.66 ,65851.29 
65851.29 ,57963.47 ,62829.33 ,91,90,0.63 ,66375.42 
66375.42 ,65851.29 ,63284.13 ,91,91,0.55 ,67579.14 
67579.14 ,66375.42 ,62937.09 ,91,91,0.55 ,67854.17 
67854.17 ,67579.14 ,59836.23 ,88,91,0.66 ,58671.28 
0.00 ,0.00 ,42657.17 ,81 ,80,0.89 ,42319.81
42319.81 ,0.00 ,44122.46 ,81 ,81 ,0.89 ,43119.05
43119.05 ,42319.81 ,46632.49 ,82 ,81 ,0.84 ,44695.81
44695.81 ,43119.05 ,55039.87 ,82 ,82 ,0.84 ,45934.46 
45934.46 ,44695.81 ,62864.18 ,82 ,82 ,0.84 ,46309.00 
46309.00 ,45934.46 ,57963.47 ,84 ,82 ,0.79 ,48160.17 
48160.17 ,46309.00 ,65851.29 ,84 ,84 ,0.84 ,48652.91 
48652.91 ,48160.17 ,66375.42 ,84 ,84 ,0.79 ,48253.17 
48253.17 ,48652.91 ,67579.14 ,86 ,84 ,0.79 ,50326.91 
50326.91 ,48253.17 ,67854.17 ,84 ,86 ,0.79 ,49613.83 
49613.83 ,50326.91 ,58671.28 ,82 ,84 ,0.84 ,47193.11 
0.00 ,0.00 ,42319.81 ,79 ,79 ,0.94 ,42319.12
42319.12 ,0.00 ,43119.05 ,81 ,79 ,0.89 ,44183.20
44183.20 ,42319.12 ,44695.81 ,81 ,81 ,0.89 ,44984.94
44984.94 ,44183.20 ,45934.46 ,81 ,81 ,0.94 ,45164.18 
45164.18 ,44984.94 ,46309.00 ,81 ,81 ,0.94 ,46359.62 
46359.62 ,45164.18 ,48160.17 ,79 ,81 ,1.00 ,43619.83 
43619.83 ,46359.62 ,48652.91 ,79 ,79 ,1.00 ,43648.46 
43648.46 ,43619.83 ,48253.17 ,79 ,79 ,1.00 ,43646.98
43646.98 ,43648.46 ,50326.91 ,79 ,79 ,1.00 ,42316.18 
42316.18 ,43646.98 ,49613.83 ,79 ,79 ,1.00 ,41183.66 
41183.66 ,42316.18 ,47193.11 ,79 ,79 ,1.00 ,40586.48 
0.00 ,0.00 ,42319.12 ,77 ,77 ,1.00 ,39106.16
39106.16 ,0.00 ,44183.20 ,79 ,77 ,1.00 ,40659.81
40659.81 ,39106.16 ,44984.94 ,81 ,79 ,0.94 ,43251.96
43251.96 ,40659.81 ,45164.18 ,79 ,81 ,1.00 ,41368.54 
41368.54 ,43251.96 ,46359.62 ,79 ,79 ,1.00 ,42039.84 
42039.84 ,41368.54 ,43619.83 ,81 ,79 ,0.94 ,45631.09 
45631.09 ,42039.84 ,43648.46 ,79 ,81 ,0.94 ,44319.31 
44319.31 ,45631.09 ,43646.98 ,77 ,79 ,1.00 ,40398.51 
40398.51 ,44319.31 ,42316.18 ,77 ,77 ,1.00 ,39815.76 
39815.76 ,40398.51 ,41183.66 ,75 ,77 ,1.00 ,37959.18 
37959.18 ,39815.76 ,40586.48 ,75 ,75 ,1.00 ,36708.02 
0.00 ,0.00 ,39106.16 ,77,76 ,0.83 ,38965.04
38965.04 ,0.00 ,40659.81 ,77,77,0.83 ,39678.60
39678.60 ,38965.04 ,43251.96 ,77,77,0.89 ,40239.51
40239.51 ,39678.60 ,41368.54 ,81,77,0.79 ,44698.88 
44698.88 ,40239.51 ,42039.84 ,82,81,0.74 ,46698.51 
46698.51 ,44698.88 ,45631.09 ,82,82,0.74 ,46069.82 
46069.82 ,46698.51 ,44319.31 ,84,82,0.66 ,48697.14 
48697.14 ,46069.82 ,40398.51 ,86,84,0.62 ,49987.26 
49987.26 ,48697.14 ,39815.76 ,84,86,0.70 ,48963.17 
48963.17 ,49987.26 ,37959.18 ,86,84,0.66 ,52697.27 
52697.27 ,48963.17 ,36708.02 ,84,86,0.70 ,48968.81 
0.00 ,0.00 ,38965.04 ,82,80,0.70 ,42199.81
42199.81 ,0.00 ,39678.60 ,84,82,0.66 ,47692.26
47692.26 ,42199.81 ,40239.51 ,86,84,0.66 ,51478.65
51478.65 ,47692.26 ,44698.88 ,88,86,0.70 ,56254.97 
56254.97 ,51478.65 ,46698.51 ,90,88,0.66 ,60186.32 
60186.32 ,56254.97 ,46069.82 ,91,90,0.59 ,64318.37 
64318.37 ,60186.32 ,48697.14 ,93,91,0.59 ,68794.18 
68794.18 ,64318.37 ,49987.26 ,93,93,0.52 ,69813.18 
69813.18 ,68794.18 ,48963.17 ,93,93,0.52 ,68118.64 
68118.64 ,69813.18 ,52697.27 ,93,93,0.52 ,69018.81 
69018.81 ,68118.64 ,48968.81 ,91,93,0.59 ,61238.22 
0.00 ,0.00 ,42199.81 ,86 ,85,0.84 ,50319.18
50319.18 ,0.00 ,47692.26 ,90 ,86 ,0.70 ,60187.67
60187.67 ,50319.18 ,51478.65 ,91 ,90 ,0.63 ,62586.18
62586.18 ,60187.67 ,56254.97 ,91 ,91 ,0.63 ,62498.11 
62498.11 ,62586.18 ,60186.32 ,93 ,91 ,0.56 ,66849.32 
66849.32 ,62498.11 ,64318.37 ,95 ,93 ,0.53 ,68496.78 
68496.78 ,66849.32 ,68794.18 ,95 ,95 ,0.53 ,70481.18 
70481.18 ,68496.78 ,69813.18 ,95 ,95 ,0.49 ,70367.74 
70367.74 ,70481.18 ,68118.64 ,93 ,95 ,0.56 ,69310.87 
69310.87 ,70367.74 ,69018.81 ,91 ,93 ,0.63 ,63478.39 
63478.39 ,69310.87 ,61238.22 ,90 ,91 ,0.66 ,62078.19 
0.00 ,0.00 ,50319.18 ,84 ,84 ,0.84 ,49875.17
49875.17 ,0.00 ,60187.67 ,88 ,84 ,0.70 ,57987.24
57987.24 ,49875.17 ,62586.18 ,90 ,88 ,0.62 ,60397.83
60397.83 ,57987.24 ,62498.11 ,90 ,90 ,0.59 ,61877.69 
61877.69 ,60397.83 ,66849.32 ,91 ,90 ,0.59 ,64861.27 
64861.27 ,61877.69 ,68496.78 ,91 ,91 ,0.55 ,66974.91 
66974.91 ,64861.27 ,70481.18 ,91 ,91 ,0.55 ,68793.16 
68793.16 ,66974.91 ,70367.74 ,93 ,91 ,0.56 ,69347.16 
69347.16 ,68793.16 ,69310.87 ,91 ,93 ,0.59 ,68974.63 
68974.63 ,69347.16 ,63478.39 ,91 ,91 ,0.59 ,66791.81 
66791.81 ,68974.63 ,62078.19 ,90 ,91 ,0.62 ,62146.07 
0.00 ,0.00 ,49875.17 ,84 ,84 ,0.89 ,49756.29
49756.29 ,0.00 ,57987.24 ,88 ,84 ,0.79 ,58046.34
58046.34 ,49756.29 ,60397.83 ,88 ,88 ,0.75 ,61348.17
61348.17 ,58046.34 ,61877.69 ,90 ,88 ,0.70 ,62017.39 
62017.39 ,61348.17 ,64861.27 ,90 ,90 ,0.66 ,63896.97 
63896.97 ,62017.39 ,66974.91 ,91 ,90 ,0.63 ,67069.87 
67069.87 ,63896.97 ,68793.16 ,93 ,91 ,0.59 ,68439.81 
68439.81 ,67069.87 ,69347.16 ,93 ,93 ,0.59 ,69301.42 
69301.42 ,68439.81 ,68974.63 ,93 ,93 ,0.59 ,69239.73 
69239.73 ,69301.42 ,66791.81 ,93 ,93 ,0.56 ,67981.60 
67981.60 ,69239.73 ,62146.07 ,91 ,93 ,0.63 ,63418.39 
0.00 ,0.00 ,49756.29 ,82,81 ,0.84 ,49780.54
49780.54 ,0.00 ,58046.34 ,86,82,0.74 ,57879.82
57879.82 ,49780.54 ,61348.17 ,88,86,0.70 ,61308.67
61308.67 ,57879.82 ,62017.39 ,90,88,0.66 ,62304.87 
62304.87 ,61308.67 ,63896.97 ,90,90,0.66 ,63791.66 
63791.66 ,62304.87 ,67069.87 ,91,90,0.63 ,67908.96 
67908.96 ,63791.66 ,68439.81 ,91,91,0.63 ,67194.69 
67194.69 ,67908.96 ,69301.42 ,91,91,0.63 ,67812.41 
67812.41 ,67194.69 ,69239.73 ,91,91,0.63 ,68120.62 
68120.62 ,67812.41 ,67981.60 ,91,91,0.63 ,66769.15 
66769.15 ,68120.62 ,63418.39 ,90,91,0.70 ,62178.16 
0.00 ,0.00 ,49780.54 ,84,83,0.79 ,49637.49
49637.49 ,0.00 ,57879.82 ,86,84,0.74 ,58069.48
58069.48 ,49637.49 ,61308.67 ,88,86,0.70 ,61423.62
61423.62 ,58069.48 ,62304.87 ,90,88,0.62 ,62397.49 
62397.49 ,61423.62 ,63791.66 ,91,90,0.55 ,64492.30 
64492.30 ,62397.49 ,67908.96 ,91,91,0.59 ,65283.62 
65283.62 ,64492.30 ,67194.69 ,91,91,0.55 ,66019.87 
66019.87 ,65283.62 ,67812.41 ,93,91,0.56 ,68641.81 
68641.81 ,66019.87 ,68120.62 ,93,93,0.56 ,68617.16 
68617.16 ,68641.81 ,66769.15 ,91,93,0.59 ,66481.36 
66481.36 ,68617.16 ,62178.16 ,91,91,0.59 ,63049.81 
0.00 ,0.00 ,49637.49 ,82 ,82,0.89 ,45630.04
45630.04 ,0.00 ,58069.48 ,84 ,82 ,0.79 ,50649.81
50649.81 ,45630.04 ,61423.62 ,84 ,84 ,0.74 ,53649.17
53649.17 ,50649.81 ,62397.49 ,86 ,84 ,0.74 ,55697.25 
55697.25 ,53649.17 ,64492.30 ,84 ,86 ,0.79 ,54319.67 
54319.67 ,55697.25 ,65283.62 ,86 ,84 ,0.70 ,56182.69 
56182.69 ,54319.67 ,66019.87 ,86 ,86 ,0.70 ,56814.26 
56814.26 ,56182.69 ,68641.81 ,86 ,86 ,0.70 ,56237.37 
56237.37 ,56814.26 ,68617.16 ,86 ,86 ,0.62 ,55671.78 
55671.78 ,56237.37 ,66481.36 ,84 ,86 ,0.66 ,54204.97 
54204.97 ,55671.78 ,63049.81 ,84 ,84 ,0.70 ,52147.69 
0.00 ,0.00 ,45630.04 ,79 ,78 ,0.89 ,42169.77
42169.77 ,0.00 ,50649.81 ,84 ,79 ,0.74 ,49768.64
49768.64 ,42169.77 ,53649.17 ,86 ,84 ,0.70 ,54379.72
54379.72 ,49768.64 ,55697.25 ,88 ,86 ,0.66 ,56794.83 
56794.83 ,54379.72 ,54319.67 ,90 ,88 ,0.62 ,60738.44 
60738.44 ,56794.83 ,56182.69 ,88 ,90 ,0.66 ,57348.78 
57348.78 ,60738.44 ,56814.26 ,84 ,88 ,0.84 ,56758.92 
56758.92 ,57348.78 ,56237.37 ,82 ,84 ,0.89 ,52467.35 
52467.35 ,56758.92 ,55671.78 ,81 ,82 ,0.94 ,52046.33 
52046.33 ,52467.35 ,54204.97 ,82 ,81 ,0.89 ,53427.87 
53427.87 ,52046.33 ,52147.69 ,82 ,82 ,0.94 ,52768.14 
0.00 ,0.00 ,42169.77 ,81 ,81 ,0.94 ,45379.84
45379.84 ,0.00 ,49768.64 ,81 ,81 ,0.94 ,46738.48
46738.48 ,45379.84 ,54379.72 ,82 ,81 ,0.89 ,53064.78
53064.78 ,46738.48 ,56794.83 ,86 ,82 ,0.84 ,56738.62 
56738.62 ,53064.78 ,60738.44 ,84 ,86 ,0.84 ,54389.14 
54389.14 ,56738.62 ,57348.78 ,84 ,84 ,0.89 ,55799.74 
55799.74 ,54389.14 ,56758.92 ,82 ,84 ,0.94 ,56408.73 
56408.73 ,55799.74 ,52467.35 ,82 ,82 ,0.89 ,53044.67 
53044.67 ,56408.73 ,52046.33 ,79 ,82 ,0.94 ,49371.66 
49371.66 ,53044.67 ,53427.87 ,79 ,79 ,1.00 ,50649.84 
50649.84 ,49371.66 ,52768.14 ,81 ,79 ,0.94 ,52647.61 
0.00 ,0.00 ,45379.84 ,81,81 ,0.94 ,45798.00
45798.00 ,0.00 ,46738.48 ,81,81,0.94 ,46727.16
46727.16 ,45798.00 ,53064.78 ,81,81,0.94 ,49768.75
49768.75 ,46727.16 ,56738.62 ,81,81,1.00 ,48765.49 
48765.49 ,49768.75 ,54389.14 ,79,81,1.00 ,45678.91 
45678.91 ,48765.49 ,55799.74 ,79,79,1.00 ,46973.27 
46973.27 ,45678.91 ,56408.73 ,77,79,0.94 ,43761.84 
43761.84 ,46973.27 ,53044.67 ,77,77,0.94 ,42649.72 
42649.72 ,43761.84 ,49371.66 ,75,77,0.94 ,40649.54 
40649.54 ,42649.72 ,50649.84 ,77,75,0.94 ,42379.44 
42379.44 ,40649.54 ,52647.61 ,79,77,0.89 ,48679.61 
0.00 ,0.00 ,45798.00 ,77,76,0.94 ,43679.84
43679.84 ,0.00 ,46727.16 ,77,77,0.94 ,44926.72
44926.72 ,43679.84 ,49768.75 ,79,77,0.89 ,46789.83
46789.83 ,44926.72 ,48765.49 ,79,79,0.89 ,46728.14 
46728.14 ,46789.83 ,45678.91 ,79,79,0.89 ,46079.87 
46079.87 ,46728.14 ,46973.27 ,77,79,0.94 ,44928.74 
44928.74 ,46079.87 ,43761.84 ,75,77,0.94 ,45679.84 
45679.84 ,44928.74 ,42649.72 ,73,75,0.94 ,40765.84 
40765.84 ,45679.84 ,40649.54 ,73,73,0.94 ,39673.45 
39673.45 ,40765.84 ,42379.44 ,72,73,0.94 ,38216.76 
38216.76 ,39673.45 ,48679.61 ,70,72,1.00 ,37928.81 
0.00 ,0.00 ,43679.84 ,77 ,76,0.94 ,43683.12
43683.12 ,0.00 ,44926.72 ,77 ,77 ,0.94 ,43941.58
43941.58 ,43683.12 ,46789.83 ,79 ,77 ,0.89 ,46139.84
46139.84 ,43941.58 ,46728.14 ,79 ,79 ,0.89 ,47597.62 
47597.62 ,46139.84 ,46079.87 ,79 ,79 ,0.89 ,48218.62 
48218.62 ,47597.62 ,44928.74 ,77 ,79 ,0.94 ,47318.63 
47318.63 ,48218.62 ,45679.84 ,79 ,77 ,0.89 ,46894.00 
46894.00 ,47318.63 ,40765.84 ,79 ,79 ,0.89 ,45976.74 
45976.74 ,46894.00 ,39673.45 ,79 ,79 ,0.89 ,43076.84 
43076.84 ,45976.74 ,38216.76 ,79 ,79 ,0.89 ,42356.84 
42356.84 ,43076.84 ,37928.81 ,79 ,79 ,0.83 ,40469.80 
0.00 ,0.00 ,43683.12 ,77 ,77 ,0.94 ,43157.85
43157.85 ,0.00 ,43941.58 ,79 ,77 ,0.94 ,46237.61
46237.61 ,43157.85 ,46139.84 ,82 ,79 ,0.79 ,48974.51
48974.51 ,46237.61 ,47597.62 ,84 ,82 ,0.70 ,50673.74 
50673.74 ,48974.51 ,48218.62 ,86 ,84 ,0.62 ,52864.28 
